"id","rank","rankUpDown","title","fullTitle","year","image","crew","imDbRating","imDbRatingCount"
"tt1877830","56","-11","The Batman","The Batman (2022)","2022","https://m.media-amazon.com/images/M/MV5BZTE2YTY3YTMtM2FlMS00YmI3LTgyMWUtM2FhMWIyZWRmMDk5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY176_CR6,0,128,176_AL_.jpg","Matt Reeves (dir.), Amber Sienna, Robert Pattinson","","0"
"tt9419056","57","-25","The Unholy","The Unholy (2021)","2021","https://m.media-amazon.com/images/M/MV5BY2VhOTgxZGEtNGRiZi00NzVkLWE3MGEtZTRjNWEwY2MwZTI0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY176_CR6,0,128,176_AL_.jpg","Evan Spiliotopoulos (dir.), Jeffrey Dean Morgan, Cricket Brown","5.2","1355"
"tt7131622","58","+9","Once Upon a Time... In Hollywood","Once Upon a Time... In Hollywood (2019)","2019","https://m.media-amazon.com/images/M/MV5BOTg4ZTNkZmUtMzNlZi00YmFjLTk1MmUtNWQwNTM0YjcyNTNkXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX128_CR0,3,128,176_AL_.jpg","Quentin Tarantino (dir.), Leonardo DiCaprio, Brad Pitt","7.6","573771"
"tt10872600","59","+5","Spider-Man: No Way Home","Spider-Man: No Way Home (2021)","2021","https://m.media-amazon.com/images/M/MV5BNTMxOGI4OGMtMTgwMy00NmFjLWIyOTUtYjQ0OGQ4Mjk0YjNjXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Jon Watts (dir.), Tom Holland, Zendaya","","0"
"tt0111161","60","-1","The Shawshank Redemption","The Shawshank Redemption (1994)","1994","https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX128_CR0,3,128,176_AL_.jpg","Frank Darabont (dir.), Tim Robbins, Morgan Freeman","9.3","2379513"
"tt6751668","61","+8","Parasite","Parasite (2019)","2019","https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX128_CR0,3,128,176_AL_.jpg","Bong Joon Ho (dir.), Kang-ho Song, Sun-kyun Lee","8.6","593139"
"tt6802400","62","-25","Coming 2 America","Coming 2 America (2021)","2021","https://m.media-amazon.com/images/M/MV5BZTMyY2Q2MDctMDFlMS00MWEzLTk1NmEtNDcxNzg1ZGJlNGU5XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX128_CR0,3,128,176_AL_.jpg","Craig Brewer (dir.), Eddie Murphy, Arsenio Hall","5.3","53328"
"tt9742794","63","-6","The Vault","The Vault (2021)","2021","https://m.media-amazon.com/images/M/MV5BZTliM2M5MjktZmY2NC00NjdlLWE5YzUtNDU2NzA0MzkyMDNlXkEyXkFqcGdeQXVyMTE1Nzg4NjY0._V1_UX128_CR0,3,128,176_AL_.jpg","Jaume Balaguer¨® (dir.), Freddie Highmore, Astrid Berg¨¨s-Frisbey","6.4","5518"
"tt1825683","64","-1","Black Panther","Black Panther (2018)","2018","https://m.media-amazon.com/images/M/MV5BMTg1MTY2MjYzNV5BMl5BanBnXkFtZTgwMTc4NTMwNDI@._V1_UX128_CR0,3,128,176_AL_.jpg","Ryan Coogler (dir.), Chadwick Boseman, Michael B. Jordan","7.3","642201"
"tt3731562","65","-41","Kong: Skull Island","Kong: Skull Island (2017)","2017","https://m.media-amazon.com/images/M/MV5BZDg0OGM1NWEtNDEwOC00OTE2LTliZWEtNzg1MTZkNjFlMmNhXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_UX128_CR0,3,128,176_AL_.jpg","Jordan Vogt-Roberts (dir.), Tom Hiddleston, Samuel L. Jackson","6.6","285262"
